Question and Choices,Answer
"Based on the question about waging war, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is waging war often considered to be?
A. suffering
B. killing people
C. people dying
D. evil
E. a party",the correct choice is D which is evil.
"Based on the question about science, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The science major was planning on digging in the earth one day, his favorite class was what?
A. religion
B. faith
C. health
D. geography
E. history studies",the correct choice is D which is geography.
"Based on the question about bone, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The human wanted to give a bone as a reward, where did he put it?
A. skeleton
B. human body
C. dog's mouth
D. fresh fish
E. barn",the correct choice is C which is dog's mouth.
"Based on the question about procreating, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Lilly wanted to go about procreating but what no desire to have sex with a man.  So she went to a clinic and bought something.  What did she buy?
A. partner
B. in bed
C. orgasm
D. cum
E. naked",the correct choice is D which is cum.
"Based on the question about little, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is the opposite of little?
A. least
B. much
C. bog
D. lot of
E. big",the correct choice is E which is big.
"Based on the question about literature, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Jane read all of the related literature before she went into the room to speak with the others. Where did she keep her literature?
A. meeting
B. conference
C. public library
D. bag
E. shelf",the correct choice is E which is shelf.
"Based on the question about everyone, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Everyone wants all sorts of different things in life, but the one common thing they all bring is a little bit of what?
A. happiness
B. minimize own suffering
C. victory in war
D. understood
E. sadness",the correct choice is A which is happiness.
"Based on the question about important, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
While the statistician thought the anomaly was important, what did the contrarian demographer think?
A. trivial
B. negligible
C. slight
D. unimportant
E. petty",the correct choice is B which is negligible.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If a person wants to sort a pile of stuff, they must start by what?
A. control computer
B. go on vacation
C. cross street
D. gain weight
E. separate things",the correct choice is E which is separate things.
"Based on the question about food, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
I have some food that I want to eat right now, where would I put it?
A. cup
B. kitchen
C. pantry
D. jar
E. plate",the correct choice is E which is plate.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When people have money wand want things, what do they tend to do?
A. sell items
B. tell truth
C. learn from each other
D. own objects
E. selling food",the correct choice is D which is own objects.
"Based on the question about hamburgers, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The hamburgers were flame-broiled so where were they served?
A. mcdonald
B. cooked on grill
C. burger king
D. fast food restaurant
E. hockey game",the correct choice is C which is burger king.
"Based on the question about living life, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
How would you start living life with someone else?
A. make love
B. get married
C. gone to jail
D. have children
E. learning",the correct choice is B which is get married.
"Based on the question about going public, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
I decided that I was going public with my amazing new medication. It has the power to relieve symptoms. So it can take away all of your what?
A. shock
B. money
C. pain
D. problems
E. controversy",the correct choice is C which is pain.
"Based on the question about fire extinguisher, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
There are laws concerning safety, therefore a fire extinguisher must be kept in every what?
A. most businesses
B. house
C. public building
D. vehicle
E. chemistry lab",the correct choice is C which is public building.
"Based on the question about eat vegetables, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The doctor told the man to eat vegetables, he promised it would help him what?
A. good for
B. wash
C. starve
D. lose weight
E. fibre",the correct choice is D which is lose weight.
"Based on the question about normal, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Name an adjective that can mean the opposite of normal.
A. unconventional
B. reverse
C. strange
D. uncommon
E. ill",the correct choice is A which is unconventional.
"Based on the question about knob, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The knob of the kitchen drawer wouldn't stay tightened, so he went to buy a new screw where?
A. control panel
B. television
C. opening mailbox
D. supermarket
E. hardware store",the correct choice is E which is hardware store.
"Based on the question about living, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The living do many things that the dead do not, but one is most important.  What do the living do that the dead do not?
A. talk
B. sometimes bad
C. pollution
D. happiness
E. have experiences",the correct choice is E which is have experiences.
"Based on the question about leader, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
James wasn't much of a leader, because he had nothing to lead.  And a leader without something to lead, no matter how skilled, is useless.  What did James need?
A. battle
B. army
C. company
D. organization
E. school",the correct choice is B which is army.
"Based on the question about virus, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
A virus causes the flu and the common what?
A. cold
B. disease
C. infection
D. mutate
E. make person sick",the correct choice is A which is cold.
"Based on the question about monkey, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Some monkeys originated in this place that has borders and many people.
A. kentucky
B. rain forest
C. treetops
D. research laboratory
E. south africa",the correct choice is E which is south africa.
"Based on the question about ball, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you hit a ball with a stick into other balls?
A. child's hand
B. pool table
C. street
D. toy box
E. soccer field",the correct choice is B which is pool table.
"Based on the question about piece, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What do you fit a piece with another piece?
A. puzzle box
B. chess game
C. plate
D. jigsaw puzzle
E. plate",the correct choice is D which is jigsaw puzzle.
"Based on the question about studying, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Studying too intensely can cause what problem?
A. understand themselves
B. understanding
C. gathering information
D. knowing more
E. headaches",the correct choice is E which is headaches.
"Based on the question about teacher, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Who does the teacher speak with most during the week?
A. school children
B. teach pupils
C. work in school
D. other teachers
E. time test",the correct choice is A which is school children.
"Based on the question about writing instrument, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you put a writing instrument if you are a woman and want to bring it with you?
A. stationery store
B. ball stopped
C. pocket
D. purse
E. classroom",the correct choice is D which is purse.
"Based on the question about hands, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Bill noticed that his hands could do many things.  He was thirsty, so he used his hands to do what?
A. catch balls
B. articulate
C. cup water
D. soft
E. pick up cup",the correct choice is C which is cup water.
"Based on the question about general store, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The pioneer went to the general store for food preservation supplies, what was he looking for?
A. barrels
B. checkers
C. baking soda
D. salt
E. water",the correct choice is D which is salt.
"Based on the question about agree with, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What has happened if you agree with someone?
A. asking them did we just become best friends?
B. nodding
C. become closer
D. concordance
E. shake hands",the correct choice is D which is concordance.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The person was there to study the apes, she would have to live out the in what for months?
A. isolation
B. mistrust
C. make mistakes
D. executed
E. desert",the correct choice is A which is isolation.
"Based on the question about customer, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
James is a customer at a restaurant.  The restaurant is very busy and James is frustrated.  What might he be doing?
A. raise hand
B. wait in line
C. take number
D. pay bills
E. order dinner",the correct choice is B which is wait in line.
"Based on the question about driving car, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He was serious and pragmatic, so why did he drive his car?
A. transportation
B. car crash
C. death
D. sleepy
E. stress",the correct choice is A which is transportation.
"Based on the question about toll road, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He took a toll road and ended up in a state he couldn't spell, it was probably which one?
A. new jersey
B. new york
C. minnesota
D. eastern united states
E. connecticut",the correct choice is E which is connecticut.
"Based on the question about student, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is the goal for a student to improve in?
A. kindergarten class
B. kitchen
C. class room
D. every aspect of life
E. library",the correct choice is D which is every aspect of life.
"Based on the question about elevation, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If you see a horrible sight at an area of elevation what may you feel?
A. disgust
B. diminishment
C. jealous
D. depression
E. reduction",the correct choice is A which is disgust.
"Based on the question about food, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is the best place to make food?
A. kitchen
B. supermarket
C. table
D. stomach
E. restaurant",the correct choice is A which is kitchen.
"Based on the question about sheet of paper, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can someone store extra sheets of paper?
A. printer
B. box
C. cutting and folding
D. cabinet
E. office",the correct choice is B which is box.
"Based on the question about remembering, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
She had trouble remembering her happy wedding day, but when she did, what did she experience?
A. hunger
B. knowing
C. depression
D. knowledge
E. pleasure",the correct choice is E which is pleasure.
"Based on the question about painting, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What did Van Gogh feel when he found his long lost painting?
A. new look
B. physical work
C. new color
D. great relief
E. slashes",the correct choice is D which is great relief.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The person saw the tomatoes were dying, what did he do next?
A. feel stupid
B. eat fruit
C. thank god
D. water garden
E. run",the correct choice is D which is water garden.
"Based on the question about door, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He chuckled as he knocked on the door, here he was actually needing to borrow a cup of sugar from where?
A. neighbor's house
B. office
C. theater
D. gas station
E. wall",the correct choice is A which is neighbor's house.
"Based on the question about human, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can a human find body coverings?
A. phone booth
B. clothing store
C. workplace
D. swimming pool
E. closets",the correct choice is B which is clothing store.
"Based on the question about friends, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What would one like to do with friends when there is no agenda?
A. hang out
B. talking about
C. bond with each other
D. meet for lunch
E. side with",the correct choice is A which is hang out.
"Based on the question about attraction, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Even if two people don't experience attraction when they meet, over time they can grow to do what?
A. love others
B. love else
C. flirt
D. love another
E. kiss",the correct choice is D which is love another.
"Based on the question about sound, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is usually a beautiful sound?
A. concert hall
B. chainsaw
C. movie
D. mouth
E. music",the correct choice is E which is music.
"Based on the question about use television, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What can you see when you use television but is not needed to use television?
A. plug in
B. kill
C. find remote control
D. remote
E. open eyes",the correct choice is B which is kill.
"Based on the question about performing, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If the though of performing makes you anxious what do you suffer from?
A. being appreciated
B. get attention
C. terror
D. stage fright
E. fear",the correct choice is D which is stage fright.
"Based on the question about drop of blood, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Who collects many a drop of blood?
A. mosquito
B. human body
C. needle
D. slaughter house
E. blood bank",the correct choice is E which is blood bank.
"Based on the question about dictionary, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you find a dictionary near young people getting lessons?
A. shelf
B. friend's house
C. table
D. library
E. classroom",the correct choice is E which is classroom.
"Based on the question about mean, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Susan was a mean person. But even so, she could show what?
A. mean cruel
B. friendly
C. kindness
D. nice
E. generous",the correct choice is C which is kindness.
"Based on the question about bed, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where could you find a bed that has been used by many people?
A. mattress store
B. rest area
C. hotel room
D. apartment
E. loft",the correct choice is C which is hotel room.
"Based on the question about return ticket, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
James lost hs return ticket during his vacation.  He was very frustrated and couldn't get a replacement.  Because of this, he missed what?
A. tickets
B. plane
C. suitcase
D. pocket
E. airport",the correct choice is B which is plane.
"Based on the question about light, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If something's weight isn't light, what is it?
A. crucial
B. darkness
C. cumbersome
D. heavy
E. darkness",the correct choice is D which is heavy.
"Based on the question about electric fan, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can you buy an electric fan?
A. sauna
B. home
C. closet
D. hardware store
E. computer",the correct choice is D which is hardware store.
"Based on the question about night table, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can you get a night table to take home?
A. hallway
B. homes
C. junk drawer
D. hotel
E. furniture store",the correct choice is E which is furniture store.
"Based on the question about side chair, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
You can put what next to a side chair to make a nice place to read and drink coffee?
A. office
B. library
C. table
D. building
E. coffee shop",the correct choice is C which is table.
"Based on the question about changing room, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you use a changing room before gym?
A. gym
B. clothing store
C. change baby's diaper
D. department store
E. schools",the correct choice is E which is schools.
"Based on the question about cry, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Marcy couldn't cry.  She didn't want her parents to know that she was sad.  She hid her sobs by doing what?
A. shed tears
B. be happy
C. laughing
D. smile
E. talk",the correct choice is C which is laughing.
"Based on the question about marmot, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Joe was in California for vacation and saw a marmot  What specific place might he be?
A. great outdoors
B. mountainous region
C. north america
D. los angeles
E. sierra nevada mountains",the correct choice is E which is sierra nevada mountains.
"Based on the question about village, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If I lived in a small village outside a city, which general geographic area would this be?
A. africa
B. countryside
C. the mountains
D. south american country
E. ohio",the correct choice is B which is countryside.
"Based on the question about statue, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where do you go to see a religious statue?
A. church
B. new york city
C. museum
D. cathedral
E. central park",the correct choice is A which is church.
"Based on the question about silverware, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you find many tables of silverware rolled into nice displayed napkins?
A. silver
B. park
C. table
D. cupboard
E. restaurant",the correct choice is E which is restaurant.
"Based on the question about escalator, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where did you try many escalators?
A. motion
B. bringing people up
C. mall
D. vacuum bay
E. department store",the correct choice is C which is mall.
"Based on the question about cat, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
My cat really dislikes many things, what does he dislike the most?
A. eat vegetables
B. litterbox
C. chased by dog
D. washed
E. bathed",the correct choice is E which is bathed.
"Based on the question about post office, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
A post office is always located in what kind of structure?
A. center of town
B. town or city
C. deliveries
D. building
E. business district",the correct choice is D which is building.
"Based on the question about flight bag, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where do you bring your flight bag?
A. aircraft
B. aeroplane
C. airplane
D. airport
E. on you lap",the correct choice is D which is airport.
"Based on the question about computers, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Ones and zeroes are how computers do everything, you could say they simply what?
A. addition
B. do work
C. do arithmetic
D. multitask
E. share files",the correct choice is C which is do arithmetic.
"Based on the question about attending lecture, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
While attending a lecture what should be done in the auditorium?
A. take notes
B. listening
C. fall asleep
D. falling asleep
E. learning",the correct choice is A which is take notes.
"Based on the question about running, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He was running from the assailant, what is his purpose for running?
A. accidents
B. moving fast
C. injuries
D. shortness of breath
E. exercise",the correct choice is B which is moving fast.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The person was frustrated when she couldn't find what she was looking for online, what did she desire?
A. food and water
B. acknowledgment
C. freedom of information
D. information
E. freedom of expression",the correct choice is C which is freedom of information.
"Based on the question about motion, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The high teenager was having trouble grasping that the world was always in motion even if he laid there what?
A. frozen
B. stillness
C. being still
D. standing still
E. stopped",the correct choice is C which is being still.
"Based on the question about disdain, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Despite his disdain for the man's action the bravery he showed was what worthy?
A. admire
B. loving
C. adore
D. revere
E. honor",the correct choice is A which is admire.
"Based on the question about ferret, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where are all ferret found before they are captured?
A. hutch
B. tree house
C. north america
D. rocky mountains
E. out of doors",the correct choice is E which is out of doors.
"Based on the question about sitting down, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sitting down was a wobbly affair, it seem all four what were uneven?
A. sit on
B. flatulence
C. legs
D. chair
E. comfort",the correct choice is C which is legs.
"Based on the question about bathing, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is necessary for bathing?
A. suntan lotion
B. reading newspaper
C. using soap
D. cleanliness
E. slip and fall",the correct choice is C which is using soap.
"Based on the question about trees, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where are trees likely to be protected?
A. orchard
B. at the tree store.
C. countryside
D. forest
E. state park",the correct choice is E which is state park.
"Based on the question about call, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He had to try to make the call in the middle of the night, it was hard to communicate using only a what?
A. communicating
B. response
C. yelling
D. hanging up
E. whisper",the correct choice is E which is whisper.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If a person strives for happier circumstances in what is it called?
A. american dream
B. better life
C. complimented
D. headache
E. own house",the correct choice is A which is american dream.
"Based on the question about going to work, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What mood sets in when someone is going to work with a boss they dislike?
A. boredom
B. teamwork
C. stress
D. anger
E. exhaustion",the correct choice is D which is anger.
"Based on the question about contraceptive device, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
who uses a contraceptive device?
A. pharmacy
B. bedroom
C. person
D. men
E. drug store",the correct choice is C which is person.
"Based on the question about farmland, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Bobby was looking to be farmland because he wanted to get away from the city. He didn't care where, just so long as it was in what?
A. illinois
B. countryside
C. south dakota
D. michigan
E. midwest",the correct choice is B which is countryside.
"Based on the question about liquid, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The liquid needed a place to be stored and not consumed easily, where did it need to go?
A. jar
B. drinking glass
C. container
D. thermos
E. cup",the correct choice is C which is container.
"Based on the question about bringing suit, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Why would someone bring suit against a total stranger?
A. aggravation
B. randomness
C. going to court
D. tensions
E. anger",the correct choice is B which is randomness.
"Based on the question about create art, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Sam loves to create art.   Looking at other peoples work does what to him?
A. depresses
B. express yourself
C. inspires
D. enlightenment
E. creative",the correct choice is C which is inspires.
"Based on the question about puppy, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where can you let a puppy sleep after it's been housebroken?
A. dog house
B. home
C. table
D. bed
E. kennel",the correct choice is B which is home.
"Based on the question about quarter, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
There is often a final exam at the end of each quarter of what?
A. quarterlight
B. hour
C. school year
D. semester
E. hundredweight",the correct choice is C which is school year.
"Based on the question about beginning work, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is someone beginning work they really want to do likely to feel?
A. working
B. stress
C. excitement
D. confusion
E. panic",the correct choice is C which is excitement.
"Based on the question about driving car, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What does a driving car cause?
A. pollution
B. delays
C. on time
D. car crash
E. run out of gas",the correct choice is A which is pollution.
"Based on the question about seats, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The man looked longingly at the seats after hours on the road, where was he?
A. rest area
B. show
C. bowling alley
D. space shuttle
E. doctors office",the correct choice is A which is rest area.
"Based on the question about mirror, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When a person gets dressed, where can they often check a mirror to see how their outfiit looks?
A. dressing room
B. toilet
C. bedroom
D. house
E. at hotel",the correct choice is C which is bedroom.
"Based on the question about rosebush, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The gardener was famous for his rosebush, the roses were used all over America and up north where?
A. park
B. maine
C. canada
D. california
E. indiana",the correct choice is C which is canada.
"Based on the question about person, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The person was looking for the bus arrival time, what did he do with the station schedule?
A. read text
B. cross street
C. enjoy learning
D. throw away
E. play dumb",the correct choice is A which is read text.
"Based on the question about criminals, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What will criminals do before robbing a bank?
A. step lightly
B. serving time
C. take money
D. arm themselves
E. manual",the correct choice is D which is arm themselves.
"Based on the question about sailor, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What destination is a sailor typically most excited for?
A. sail boat
B. ship out
C. dinner
D. coming home
E. board ship",the correct choice is D which is coming home.
"Based on the question about music, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What could you do while you are listening to music?
A. fiddle
B. sing
C. play piano
D. run
E. have fun",the correct choice is E which is have fun.
"Based on the question about turkey, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The turkey needed to be cooked, what can be used for this situation?
A. sink
B. refrigerator
C. oven
D. fridge
E. bought at store",the correct choice is C which is oven.
"Based on the question about country, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
This country spans the entire breadth of the landmass.  What is it called?
A. america
B. ocean
C. africa
D. continent
E. great outdoors",the correct choice is A which is america.
"Based on the question about talking to, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When talking to someone and gaining their trust they will do what they want because of you have done what?
A. communication
B. persuaded
C. learn
D. friendship
E. engaged",the correct choice is B which is persuaded.
"Based on the question about respect, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The rapper had great respect for the track, this was despite it being a what directed at him?
A. diss
B. belittle
C. kind
D. being rude
E. contemn",the correct choice is A which is diss.
"Based on the question about mechanic, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
If someone is a mechanic, what are likely issues they will be asked to fix?
A. machine tool
B. oil squeaky joints
C. oil engine
D. machine parts
E. servicing airplane",the correct choice is C which is oil engine.
"Based on the question about friends, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Two friend decided to spend their lives together in matrimony, so what did they arrange?
A. restaurant
B. wedding
C. internet cafe
D. movie
E. friend's house",the correct choice is B which is wedding.
"Based on the question about going to opera, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What do children feel when going to the opera?
A. headache
B. fresh
C. constipated
D. confusion
E. boredom",the correct choice is E which is boredom.
"Based on the question about jogging, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Too much jogging for elderly people can lead to what?
A. exhaustion
B. shortness of breath
C. heart attacks
D. blisters
E. diabetes",the correct choice is C which is heart attacks.
"Based on the question about seeing new, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John doesn't like seeing new movies. He thinks that they're bad, and excessive.   What emotion might he experience where he sees one.
A. curiosity
B. excitement
C. education
D. wonder
E. fear",the correct choice is E which is fear.
"Based on the question about ice, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you not be likely to find ice?
A. hockey game
B. cold weather
C. refrigerator
D. zoo
E. antarctica",the correct choice is C which is refrigerator.
"Based on the question about sunglasses, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you put sunglasses if you do not have anything to put them in that can be carried with you?
A. stores along beach
B. shirt pocket
C. eye doctor
D. drugstore
E. bag",the correct choice is B which is shirt pocket.
"Based on the question about animals, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Animals can be very primal, sometimes to prove themselves they what?
A. fight each other
B. need to eat
C. are territorial
D. feel pain
E. live lives",the correct choice is A which is fight each other.
"Based on the question about trash can, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you find a trash can nearby liquid in a workplace?
A. alley
B. office
C. motel
D. water cooler
E. park",the correct choice is D which is water cooler.
"Based on the question about creating art, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Creating art fulfilled me, what else did it give me therefor?
A. strong emotion
B. work of art
C. communication
D. feeling of accomplishment
E. scholarship",the correct choice is D which is feeling of accomplishment.
"Based on the question about rubbish, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where do you watch rubbish?
A. pooja hall
B. television
C. trash can
D. park
E. waste bin",the correct choice is B which is television.
"Based on the question about selfish, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Someone who is selfish wouldn't share a sandwich with their hungry friend, someone who is what might though?
A. philanthropic
B. unselfish
C. selfless
D. altruistic
E. not hungry",the correct choice is C which is selfless.
"Based on the question about money, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The boss gave him the money to appease the clients, he had to what?
A. buy a train ticket
B. create art
C. apply for job
D. take care of proposals
E. stand in line",the correct choice is D which is take care of proposals.
"Based on the question about going jogging, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What caused my shirt to get soaked after going jogging?
A. arthritis
B. lose weight
C. sweating
D. exercise
E. feel better",the correct choice is C which is sweating.
"Based on the question about insulation, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What would you need to have insulation to go to?
A. house
B. attic
C. arctic
D. antartica
E. loft",the correct choice is C which is arctic.
"Based on the question about column, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The location was famous for it's color, but the tourist was interested in the column of the what?
A. statue
B. pantheon
C. roman architecture
D. spreadsheet
E. whitehouse",the correct choice is E which is whitehouse.
"Based on the question about people, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What do people do in the cold?
A. complete job
B. wear hats
C. wear shorts
D. believe in god
E. kill animals",the correct choice is B which is wear hats.
"Based on the question about profit, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The business did not make profit.  What did it do?
A. deficit
B. lose money
C. expense
D. losing money
E. gain money",the correct choice is B which is lose money.
"Based on the question about bone, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The humorous is a bone found where?
A. cow
B. arm
C. fresh fish
D. museum
E. comedy club",the correct choice is B which is arm.
"Based on the question about tote bag, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where would you bring a tote bag with papers in it?
A. shopping cart
B. the garage
C. house
D. school
E. closet",the correct choice is D which is school.
"Based on the question about closet, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is a supply closet likely to be located?
A. bedroom
B. coats
C. mop and bucket
D. school
E. house",the correct choice is D which is school.
"Based on the question about hinge, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
He finished installing a swinging hinge on both parts, she had always wanted a fancy what?
A. swing door
B. gate
C. french door
D. car door
E. exterior door",the correct choice is C which is french door.
"Based on the question about hurting else, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What is someone doing to the other party when hurting someone else?
A. causing pain
B. seek revenge
C. hurt feelings
D. relieve
E. sadness",the correct choice is A which is causing pain.
"Based on the question about fencing, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
What can occur in fencing when it is really hot?
A. puncture wound
B. drinking
C. perspiration
D. severe injuries
E. competition",the correct choice is C which is perspiration.
"Based on the question about cogitating, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
if you cogitate on something for a long time, you can get this feeling?
A. might understand
B. enjoy
C. sit comfortably
D. think about things
E. get irritated",the correct choice is A which is might understand.
"Based on the question about ficus, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
John spent his days planting ficus trees.  He did so because trees were an important part of what?
A. tropical rainforest
B. ecosphere
C. sunny window
D. pots
E. dirt",the correct choice is B which is ecosphere.
"Based on the question about row house, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
The row houses featured nearby red phone booths, where were they located?
A. england
B. living less expensively
C. city
D. town
E. inside car",the correct choice is A which is england.
"Based on the question about lake, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where is known to have many a lake?
A. state park
B. mountains
C. countryside
D. dead sea
E. michigan",the correct choice is E which is michigan.
"Based on the question about storage, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
James needed storage for 500 tons o beans in crates.  What sort of facility might he use?
A. attic
B. garage
C. building
D. warehouse
E. michigan",the correct choice is D which is warehouse.
"Based on the question about seats, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
Where are the seats frequently covered in popcorn and soda?
A. movies
B. opera
C. show
D. auditorium
E. classroom",the correct choice is A which is movies.
"Based on the question about work, analyze each option and select the most appropriate answer. Please provide a final answer to the question.
When you first wake up and head to work what do you have to do?
A. get going
B. concentrate
C. drink coffee
D. get dressed
E. have job",the correct choice is A which is get going.
